CityCode,City,Location,State
ROC,Rochester,"Rochester, NY",New York
MCG,Mc Grath,"Mc Grath, AK",Alaska
MSO,Missoula,"Missoula, MT",Montana
ACY,Atlantic City,"Atlantic City, NJ",New Jersey
FAR,Fargo,"Fargo, ND",North Dakota
CDV,Cordova,"Cordova, AK",Alaska
MSP,Minneapolis,"Minneapolis, MN",Minnesota
DEN,Denver,"Denver, CO",Colorado
ROW,Roswell,"Roswell, NM",New Mexico
GAG,Gage,"Gage, OK",Oklahoma
ORD,Chicago,"Chicago, IL",Illinois
PIA,Peoria,"Peoria, IL",Illinois
LGB,Long Beach,"Long Beach, CA",California
HVR,Havre,"Havre, MT",Montana
ABI,Abilene,"Abilene, TX",Texas
P28,Medicine Lodge,"Medicine Lodge, KS",Kansas
PSG,Petersburg,"Petersburg, AK",Alaska
NID,China Lake,"China Lake, CA",California
DSM,Des Moines,"Des Moines, IA",Iowa
OGG,Kahului,"Kahului, HI",Hawaii
GTF,Great Falls,"Great Falls, MT",Montana
MLS,Miles City,"Miles City, MT",Montana
LBF,North Platte,"North Platte, NE",Nebraska
EPH,Ephrata,"Ephrata, WA",Washington
BGR,Bangor,"Bangor, ME",Maine
BTM,Butte,"Butte, MT",Montana
CAE,Columbia,"Columbia, SC",South Carolina
SUX,Sioux City,"Sioux City, IA",Iowa
BUF,Buffalo,"Buffalo, NY",New York
BRW,Utqiagvik (Barrow),"Utqiagvik (Barrow), AK",Alaska
GPI,Kalispell,"Kalispell, MT",Montana
WAL,Wallops Island,"Wallops Island, VA",Virginia
UNK,Unalakleet,"Unalakleet, AK",Alaska
COS,Colorado Springs,"Colorado Springs, CO",Colorado
MQE,Milton,"Milton, MA",Massachusetts
GSO,Greensboro,"Greensboro, NC",North Carolina
LZK,North Little Rock,"North Little Rock, AR",Arkansas
AMG,Alma,"Alma, GA",Georgia
CDB,Cold Bay,"Cold Bay, AK",Alaska
BFL,Bakersfield,"Bakersfield, CA",California
ALB,Albany,"Albany, NY",New York
HTS,Huntington,"Huntington, WV",West Virginia
HLN,Helena,"Helena, MT",Montana
ILM,Wilmington,"Wilmington, NC",North Carolina
GKN,Gulkana,"Gulkana, AK",Alaska
INL,International Falls,"International Falls, MN",Minnesota
OKC,Oklahoma City,"Oklahoma City, OK",Oklahoma
ACT,Waco,"Waco, TX",Texas
GNV,Gainesville,"Gainesville, FL",Florida
CLT,Charlotte,"Charlotte, NC",North Carolina
EKA,Eureka,"Eureka, CA",California
HNL,Honolulu,"Honolulu, HI",Hawaii
BCB,Blacksburg,"Blacksburg, VA",VA
PHX,Phoenix,"Phoenix, AZ",Arizona
AHN,Athens,"Athens, GA",Georgia
ABR,Aberdeen,"Aberdeen, SD",South Dakota
SDF,Louisville,"Louisville, KY",Kentucky
TUP,Tupelo,"Tupelo, MS",Mississippi
CHS,Charleston,"Charleston, SC",South Carolina
ANN,Annette,"Annette, AK",Alaska
ADQ,Kodiak,"Kodiak, AK",Alaska
EYW,Key West,"Key West, FL",Florida
PWM,Portland,"Portland, ME",Maine
AVL,Asheville,"Asheville, NC",North Carolina
DFW,Dallas-Fort Worth,"Dallas-Fort Worth, TX",Texas
SAT,San Antonio,"San Antonio, TX",Texas
FSM,Fort Smith,"Fort Smith, AR",Arkansas
JAX,Jacksonville,"Jacksonville, FL",Florida
LAS,Las Vegas,"Las Vegas, NV",Nevada
IPT,Williamsport,"Williamsport, PA",Pennsylvania
BDL,Windsor Locks,"Windsor Locks, CT",Connecticut
BTT,Bettles,"Bettles, AK",Alaska
KTN,Ketchikan,"Ketchikan, AK",Alaska
HBG,Hattiesburg,"Hattiesburg, MS",Mississippi
